Wall time,Step,Value
1773166696.6664577,10001,-140.08592224121094
1773166705.9861627,20001,-106.17798614501953
1773166719.3800163,30001,-99.78260803222656
1773166732.4130359,40001,-94.59927368164062
1773166744.8144603,50001,-88.61857604980469
1773166757.3178685,60001,-81.28311157226562
1773166769.369369,70001,-76.8189468383789
1773166782.3840685,80001,-69.21756744384766
1773166795.2745833,90001,-55.327877044677734
1773166805.342133,100001,-22.488357543945312
1773166816.0600178,110001,9.273694038391113
1773166826.8597417,120001,48.110103607177734
1773166837.606309,130001,97.0750961303711
1773166849.0878315,140001,136.2529754638672
1773166861.0770948,150001,159.24447631835938
1773166871.1703913,160001,179.7777557373047
1773166881.572257,170001,184.4684600830078
1773166892.4209554,180001,181.68801879882812
1773166902.8779438,190001,182.94517517089844
1773166913.2225823,200001,177.593994140625
1773166924.2805731,210001,175.52516174316406
1773166935.1387713,220001,168.48974609375
1773166946.6725583,230001,155.36529541015625
1773166956.7585423,240001,160.353515625
1773166965.8449576,250001,176.12692260742188
1773166975.0310993,260001,206.9511260986328
1773166984.9834733,270001,230.32009887695312
1773166994.0487847,280001,237.69418334960938
1773167002.796895,290001,245.0518798828125
1773167011.2699535,300001,258.10125732421875
