Wall time,Step,Value
1773164722.7725763,10001,-126.66106414794922
1773164732.1292973,20001,-96.74606323242188
1773164744.4154558,30001,-89.31400299072266
1773164756.2861512,40001,-87.60014343261719
1773164768.0592694,50001,-83.17574310302734
1773164780.061562,60001,-80.69978332519531
1773164791.885064,70001,-80.88324737548828
1773164803.1357086,80001,-69.8758544921875
1773164814.5517013,90001,-62.422122955322266
1773164825.1433535,100001,-42.47971725463867
1773164836.2083538,110001,-6.72911262512207
1773164846.2205288,120001,19.682401657104492
1773164856.8211427,130001,81.77364349365234
1773164867.618833,140001,115.07054138183594
1773164877.0765154,150001,146.3386993408203
1773164886.3370247,160001,180.96865844726562
1773164895.2450159,170001,207.67196655273438
1773164904.696018,180001,223.673828125
1773164915.317301,190001,228.7928009033203
1773164924.909773,200001,232.83668518066406
1773164934.5282762,210001,223.55538940429688
1773164943.5977652,220001,222.54312133789062
1773164952.9206426,230001,219.774658203125
1773164963.022602,240001,214.793212890625
1773164972.5384057,250001,222.81028747558594
1773164981.6869996,260001,231.8157958984375
1773164990.6124854,270001,224.75836181640625
1773164999.5268304,280001,230.01980590820312
1773165009.3127878,290001,221.36541748046875
1773165018.516292,300001,229.94384765625
